adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,revenue
False,/mbYTRO33LJAgpCMrIn9ibiWHbMH.jpg,"[35, 12]",346698,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",166.446,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,2023-07-19,Barbie,False,6.999,9257,1445638421
False,/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg,"[28, 12, 878]",99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",82.377,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,2015-04-22,Avengers: Age of Ultron,False,7.274,23011,1405403694
False,/cFBreBMAuE578QOFwSGHQpnH9En.jpg,"[16, 10751, 12, 14, 35]",502356,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",162.832,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,False,7.642,9231,1362000000
False,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,"[28, 12, 878]",284054,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",80.472,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,Black Panther,False,7.38,22202,1349926083
False,/n5A7brJCjejceZmHyujwUTVgQNC.jpg,"[14, 12]",12445,en,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",153.555,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,False,8.1,20587,1341511219
False,/by8z9Fe8y7p4jo2YlW2SZDnptyT.jpg,"[28, 35, 878]",533535,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",755.195,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,Deadpool & Wolverine,False,7.7,6011,1338073382
False,/5Iw7zQTHVRBOYpA0V6z0yypOPZh.jpg,"[12, 28, 878]",181808,en,Star Wars: The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",71.116,/ySaaKHOLAQU5HoZqWmzDIj1VvZ1.jpg,2017-12-13,Star Wars: The Last Jedi,False,6.8,15293,1332698830
False,/6WA9stUMbIkEPxn3D5SWlA8FIi7.jpg,"[28, 12, 878, 53]",351286,en,Jurassic World: Fallen Kingdom,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",153.391,/2CQ53CuWD1KdlOkEWhJcEVjqKn4.jpg,2018-06-06,Jurassic World: Fallen Kingdom,False,6.542,11786,1310466296
False,/u2bZhH3nTf0So0UIC1QxAqBvC07.jpg,"[16, 10751, 12, 14]",109445,en,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",161.112,/mmWheq3cFI4tYrZDiATOkCNTqgK.jpg,2013-11-20,Frozen,False,7.2,16533,1274219009
False,/uU1Mt4JWhDvl4vKb3AfxNsorkoM.jpg,"[10751, 14, 10749]",321612,en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,96.144,/6iIc0vHXV5ir3DBncUnlhZFJUe3.jpg,2017-03-16,Beauty and the Beast,False,7.0,15430,1266115964
